CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Comoros,COM,Africa,1,154,15405,Eastern Africa,KM,174,23,140,"2,046",1,Ile,,,,,4,1991,1996,436,494,560,527,609,706,17.32,20.65,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Comoros 1996 population estimates are from Geohive http://www.geohive.com/ .  Geohive cites the original source as: ""L'Évaluation de l'éducation pour tous à l'an 2000: Rapport des pays, Forum mondial sur l'éducation, Unesco.""
Mayotte is included in Comoros. Mayotte 1997 (rather than 1996) and 1991 census data are also from Geohive. Geohive cites the original source as: Le SPLAF http://splaf.free.fr/976des.html .",,A population growth rate was calculated between 1991 and 1996 (1997 for Mayotte) to extrapolate the population data to target years.,93,"36,753","1,004","3,569.98","Administrative centres of prefec_tures and localities with 5,000 inhabitants or more.",5,70,4,20.19,101,"83,187","5,674","25,519.20","127,596",4.93,22.78,33.80,2,3,0,0,"AFCities (provided by Uwe Deichman, World Bank); General Census for Comores, September 1980, Census Bureau; World Gazetteer, www.gazetteer.de",AFCities; Columbia Gazetteer; NIMA
Cape Verde,CPV,Africa,1,120,12005,Western Africa,CV,132,21,48,"4,072",1,Ilha,,,,,9,1990,2000,324,374,435,341,381,427,4.99,-1.83,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Instituto Nacional de Estatistica, Cabo Verde: Censo 1990 e Censo 2000, Outros Años Perspectivas Demográficas de Cabo Verde Horizonte 2020, http://www.ine.cv/estatisticas_cv_demografia.htm .",,A population growth rate was calculated between 1990 and 2000 to extrapolate the population data to target years.,16,"94,757","1,800","14,498.56",Not available.,8,61,4,21.60,173,"88,624","5,319","25,926.63","207,413",4.24,47.70,63.50,6,2,0,0,"City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",AFCities; Getty; NIMA; World Gazetteer
Djibouti,DJI,Africa,1,182,18205,Eastern Africa,DJ,262,65,120,"20,903",1,District,,,,,5,1979,1998,556,574,598,504,545,632,-10.37,5.41,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Estimates of 1979 population were found in Republique de Djibouti (1989), Annuaire Statistique de Djibouti, Direction Nationale de la Staistique; and Estimates of 1998 population were from Trésor de la Langue Française au Québec (TLFQ), http://www.tlfq.ulaval.ca/axl/afrique/djibouti.htm .",,The 1998 population estimates were converted from percentages to counts.,5,"407,186","6,183","88,114.40",Djibouti (capital city).,5,88,7,31.38,157,"418,787","6,217","90,651.20","453,256",0.75,75.82,84.20,5,0,0,0,"World Gazetteer, www.gazetteer.de",NIMA
Algeria,DZA,Africa,1,20,2005,Northern Africa,DZ,12,219,634,"2,302,498",1,Wilaya,,,,,48,1987,1998,"24,470","27,248","30,421","24,855","27,655","30,291",1.55,-0.43,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1987 and 1998 Census data from Statistiques Algérie, http://www.ons.dz/ .",,,151,"757,537","4,213","68,918.32","All communes having as chef-lieu either a city, a rural town or an urban agglomeration.",116,"2,147",16,182.44,"21,163","4,142,076","5,443","145,701.81","16,901,410",0.92,55.56,57.70,103,13,0,0,"City Population, http://www.citypopulation.de; Recensement General de la Population de l'Habitat 1998 Armature Urbaine Algeria, Census Bureau; World Gazetteer, www.gazetteer.de",Rand McNally Atlas 1994; Times Atlas of the World 1999; World Gazetteer
Egypt,EGY,Africa,1,192,19205,Northern Africa,EG,818,65,278,"968,071",2,Governate,Markaz/ Quisms,,,,230,1992,1996,"53,407","58,392","63,869","56,223","61,991","67,884",5.01,5.91,"Omar Mohamed Hamza (Executive Manager, GIS Program), Cabinet Information and Decision Support Center (IDSC) of the Central Agency for Public Mobilaztion and Statistics (CAMPAS).  Additional data support provided by Opinion Research Corporation (ORC) Macro International.","1996 Egyptian Census.  Estimates of population in 1990 were based on the 1986 census, digital file, POPMAP application produced by Egyptian Statistical Office in collaboration with the UN Software Development Project (UNSD/DESIPA); Arab Republic of Egypt (1991), Statistical Yearbook of Egypt 1991, Central Agency for Mobilization and Statistics, Cairo; and Arab Republic of Egypt (1993), Statistical Yearbook of Egypt 1993, Central Agency for Mobilization and Statistics, Cairo. ",Boundaries matched to Digital Chart of the World.,Old and new boundaries were aggregated to six regions (and population summed) so that a population growth rate could be calculated using between 1990 and 1996 to extrapolate to target years.,151,"7,645,936","13,595","186,218.13","Governorates of Cairo, Alexandria, Port Said, Ismailia and Suez; frontier governorates; and capitals of other governorates as well as district capitals (markaz).",60,"10,893",2,398.73,"23,924","16,911,000","5,605","987,473.33","59,248,400",2.47,92.76,42.70,57,2,1,0,"City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",City Population; NIMA; Times Atlas of the World 1999; World Gazetteer
Eritrea,ERI,Africa,1,205,20505,Eastern Africa,ER,232,57,96,"121,863",2,Region,Awraja,,,,38, ,1986,"3,082","3,167","3,634","3,103","3,189","3,659",0.68,0.69,GIS coverage produced by USGS/EDC USAID/FEWS and obtained through the International Livestock Research Institute. UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov.,"Estimates of population in 1990 were based on the Census of Ethiopia 1984, Digital File obtained from EROS Data Center through the Int'l Livestock Research Institute; contains population figures for 3rd level administrative units (2nd level for Eritrea); and Central Statistical Authority (1986), Eritrea Statistical Abstract 1986, Addis Abeba. Contains population by first and second sub-national levels (Region and Awraja) for 1986. ",,Population data were projected from 1990 to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.,9,"529,985","13,746","90,781.33","Localities with 2,000 inhabitants or more.",9,131,9,37.42,337,"246,671","7,303","65,572.89","590,156",0.28,16.24,19.10,7,2,0,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
Ethiopia,ETH,Africa,1,208,20805,Eastern Africa,ET,231,46,119,"1,123,714",3,Region,Zone,Wereda,,,523,,1994,"47,102","54,911","62,370","47,509","55,385","62,908",0.86,0.86,"Boundary data were provided by Patrick Gordon, Mine Information Advisor, UNDP Mine Action Advisory Team.",1994 data downloaded from the United Nations Development Programme Emergencies Unit for Ethiopia (UNDP-EUE) databases: http://www.sas.upenn.edu/African_Studies/eue_web/pop_des.htm .,“Komesha Wereda” was manually split from “Asosa Wereda” based on the map from: http://www.telecom.net.et/~undp-eue/reports/Benish96.jpg .,"Population for “Dire Dawa Town” was added to “Gurgura Wereda” as the town population from the census is within this unit; “Mekele Wereda” was relabeled in the census data from Region 1, Zone 4, Wereda 9 to Region 1, Zone 5, Wereda 1 to match spatial data; For the two regions that had no census data, population for the units was estimated based on input data used in GPW version 2 for the years 1984-86. Several units in these regions did not match spatially.The new and old units were intersected and population was allocated proportionally to the new areas. 
1994 population data were projected to the years 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",407,"2,890,947","1,036","20,295.80","Localities with 2,000 inhabitants or more.",207,588,1,21.74,"4,500","2,795,904","5,008","35,862.99","7,423,638",0.40,11.90,15.90,31,170,3,3,"AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; THE 1994 POPULATION AND HOUSING CENSUS OF ETHIOPIA, Census Bureau; World Gazetteer, www.gazetteer.de",AFCities; Columbia Gazetteer; NIMA; Times Atlas of the World 1999; World Gazetteer
Gabon,GAB,Africa,1,260,26005,Middle Africa,GA,266,76,29,"265,146",2,Province,Departement,Canton,,,46,1990,1993,"1,005","1,159","1,322",935,"1,078","1,230",-7.50,-7.50,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","(1) Republique Gabonaise (1980), Annuaire Statistique du Gabon 1976-80, Direction Generale de la Statistique et des Etudes Economiques, Ministere de la Planification de l'Economie et de l'Amenagement du Territoire, Libreville. 
(2) Republique Gabonaise (1990), Annuaire Statistique du Gabon 1990, Direction Generale de la Statistique et des Etudes Economiques, Ministere de la Planification de l'Economie et de l'Amenagement du Territoire, Libreville. 
(3) Republique Gabonaise (1993), Recensement Generale de la Population et de l'Habitat 1993, Resultats Preliminaires, Direction Generale de la Statistique et des Etudes Economiques, Ministere de la Planification de l'Economie et de l'Amenagement du Territoire, Libreville. ",,"Subnational and national population figures for Gabon are very inconsistent. Instead of using the raw figures, the final estimates are based on the proportion of a sub-units population of the national total. These proportions were then applied to the UN estimates. Population data were projected to the year 2000 using growth rates derived from United Nations national level estimates and projections.",35,"566,225","1,022","28,133.74","Towns with 2,000 inhabitants or more.",29,281,3,27.73,804,"420,458","5,044","30,281.17","878,154",0.30,66.41,82.30,10,18,1,0,"Recensement General de la Population et de L'Habitat - Repertoire de Regroupements & Villages 1, UN Statistical Library",AFCities; Columbia Gazetteer; NIMA; World Gazetteer
Ghana,GHA,Africa,1,278,27805,Western Africa,GH,288,46,172,"231,730",2,Region,District,,,,110,1984,2000,"14,466","16,525","18,912","15,138","17,297","19,306",4.44,2.04,"2000 spatial data were provided by David Rain of the US Census Bureau International Programs Center; 1984 boundaries were initially produced for the UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","2000 Population and Housing Census, Ghana. 1984 population estimates were based on these sources: Republic of Ghana: Population Census of 1984, Preliminary Report: Accra, Decembre 1984; and Republic of Ghana: Population Census of 1984, Special report on localities by local authorities and by region, Statistical Service: Accra 1989.",,"Data were projected using artificially constructed regions. The data were aggregated to six regions and regional growth rates were subsequently applied to corresponding districts, to generate population estimates of 1990 and 1995 at a spatial resolution consistent with the year 2000 spatial units.",175,"1,664,978","1,470","39,559.10","Localities with 5,000 inhabitants or more.",113,813,3,45.54,"5,146","2,632,305","5,273","59,836.64","6,761,540",2.22,35.75,36.40,44,69,0,0,"1984 Population Census of Ghana, Preliminary Report, Census Bureau; AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; Columbia Gazetteer; NIMA; World Gazetteer
Guinea,GIN,Africa,1,304,30405,Western Africa,GN,324,86,257,"245,860",2,Region,Prefecture,,,,33,1983,1996,"5,270","7,027","8,466","6,139","7,332","8,154",14.16,-3.82,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1996 population data from the African Census Analysis Project, http://www.acap.upenn.edu/Data/navigator/go/guinea/1996/sasdata.gn96pers.html.  The population figures for 1990 were based on estimates produced by Benoit Ninnin for the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS) for 1960-90. He used these sources: 1. Etude d'une Image - Long Terme de l'Afrique.  2. Ministere du Plan et de la Cooperation Internationale (Direction Generale de la Statistique et de l'Informatique): Recensement general de la population et de l'habitat, Fevrier 1983, Resultats provisoires: Conakry, Octobre 1987, Analyse des resultats definitifs: Conakry, Decembre 1989.  3. enard J.L.: Projet de developpement urbain de Conakry, Avril 1988 ","An extra settlement unit in the population data, named Conakry, was  combined with the parent unit named Dubreka.",A population growth rate was calculated between 1990 and 1996 to extrapolate to the target years of 1995 and 2000.,44,"1,484,399","3,477","112,227.39",Urban centres.,36,222,8,29.89,"1,076","880,874","5,904","70,553.33","2,539,920",0.44,30.00,27.90,9,26,1,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA; Times Atlas of the World 1999
Gambia,GMB,Africa,1,264,26405,Western Africa,GM,270,17,32,"10,838",2,Division,District,,,,37,1983,1993,925,"1,076","1,197",928,"1,115","1,303",0.32,8.15,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Population and Housing Census 1993, Banjul: Central Statistics Department.",,A population growth rate was calculated between 1990 and 1993 to extrapolate to the target years of 1995 and 2000.,96,"62,954","1,395","8,051.64", Local government areas of Banjul and Kanifing.,19,158,6,27.46,522,"442,586","6,065","36,054.74","685,040",4.81,57.24,31.30,3,16,0,0,"AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; Population and Housing Census of the Gambia 1993, UN Statistical Library; World Gazetteer, www.gazetteer.de",AFCities; Census; Columbia Gazetteer; NIMA; Times Atlas of the World 1999; World Gazetteer
